in:ID [-],in:Type [-],in:Dep [m],in:PWT [%],in:FAR [-],in:Len [m],in:RS [m],in:SS [m],out:GFA [m2],out:LotCov [-],out:PC_1 [%],out:PC_2 [%],out:PC_3 [%],out:PC_4 [%],out:PC_5 [%],img
106,1,40,50,10,60,10,0,81649,0.199,0.1,5.9,20.9,24.4,48.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/106ScreenParallel.webp
107,2,40,50,10,60,10,0,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/107ScreenParallel.webp
108,0,20,30,10,40,0,5,89894,0.235,0,8.6,32,32.3,27.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/108ScreenParallel.webp
109,1,20,30,10,40,0,5,90831,0.252,0,14.3,35.5,30.3,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/109ScreenParallel.webp
110,2,20,30,10,40,0,5,91809,0.298,1.6,26,29.6,18.3,24.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/110ScreenParallel.webp
111,0,30,30,10,40,0,5,90614,0.269,0,11.8,35.9,29.1,23.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/111ScreenParallel.webp
112,1,30,30,10,40,0,5,89408,0.29,0.1,18.3,39.3,18.3,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/112ScreenParallel.webp
113,2,30,30,10,40,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/113ScreenParallel.webp
114,0,40,30,10,40,0,5,92045,0.286,0,9.7,42.1,23.6,24.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/114ScreenParallel.webp
115,1,40,30,10,40,0,5,91243,0.31,0.2,20.4,32.1,22.2,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/115ScreenParallel.webp
116,2,40,30,10,40,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/116ScreenParallel.webp
117,0,20,40,10,40,0,5,91698,0.226,0.1,6.6,29.1,32.8,31.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/117ScreenParallel.webp
118,1,20,40,10,40,0,5,93183,0.258,0,13.8,39.4,27,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/118ScreenParallel.webp
119,2,20,40,10,40,0,5,94806,0.31,2.5,22.4,29.2,19.1,26.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/119ScreenParallel.webp
120,0,30,40,10,40,0,5,92234,0.264,0.1,12.3,35.1,25.6,26.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/120ScreenParallel.webp
121,1,30,40,10,40,0,5,93155,0.3,0.3,15.1,39.6,18.5,26.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/121ScreenParallel.webp
122,2,30,40,10,40,0,5,95227,0.336,0.6,17.6,28.7,21.3,31.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/122ScreenParallel.webp
123,0,40,40,10,40,0,5,93434,0.284,0.2,10.3,36.9,24.8,27.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/123ScreenParallel.webp
124,1,40,40,10,40,0,5,94919,0.323,0.4,17.4,29.1,23.4,29.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/124ScreenParallel.webp
125,2,40,40,10,40,0,5,95227,0.336,0.6,17.6,28.7,21.3,31.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/125ScreenParallel.webp
126,0,20,50,10,40,0,5,91235,0.172,0.1,5.4,23.7,29.7,41.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/126ScreenParallel.webp
127,1,20,50,10,40,0,5,91964,0.204,0.1,7.3,28.5,31.3,32.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/127ScreenParallel.webp
128,2,20,50,10,40,0,5,96961,0.342,0,18.7,21.9,17.2,42.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/128ScreenParallel.webp
129,0,30,50,10,40,0,5,91647,0.19,0.1,6.4,25.6,27,40.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/129ScreenParallel.webp
130,1,30,50,10,40,0,5,93193,0.234,0.1,6.6,30.6,30.1,32.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/130ScreenParallel.webp
131,2,30,50,10,40,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/131ScreenParallel.webp
132,0,40,50,10,40,0,5,91342,0.203,0.1,5.5,16.9,28.2,49.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/132ScreenParallel.webp
133,1,40,50,10,40,0,5,93925,0.259,0.1,7.4,30.4,29,33.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/133ScreenParallel.webp
134,2,40,50,10,40,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/134ScreenParallel.webp
135,0,20,30,10,60,0,5,90355,0.25,0,15,34,31,20,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/135ScreenParallel.webp
136,1,20,30,10,60,0,5,90831,0.252,0,14.3,35.5,30.3,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/136ScreenParallel.webp
137,2,20,30,10,60,0,5,90985,0.298,1.6,25.7,30,18.2,24.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/137ScreenParallel.webp
138,0,30,30,10,60,0,5,89709,0.288,0,18.3,38.2,19.4,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/138ScreenParallel.webp
139,1,30,30,10,60,0,5,89408,0.29,0.1,18.3,39.3,18.3,24.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/139ScreenParallel.webp
140,2,30,30,10,60,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/140ScreenParallel.webp
141,0,40,30,10,60,0,5,91825,0.307,0,19.9,33,22,25.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/141ScreenParallel.webp
142,1,40,30,10,60,0,5,91243,0.31,0.2,20.4,32.1,22.2,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/142ScreenParallel.webp
143,2,40,30,10,60,0,5,91260,0.323,0.6,21.8,29,20.6,28,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/143ScreenParallel.webp
144,0,20,40,10,60,0,5,92679,0.251,0,12.2,38.2,29.2,20.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/144ScreenParallel.webp
145,1,20,40,10,60,0,5,93183,0.258,0,13.8,39.4,27,19.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/145ScreenParallel.webp
146,2,20,40,10,60,0,5,94806,0.31,2.5,22.4,29.2,19.1,26.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/146ScreenParallel.webp
147,0,30,40,10,60,0,5,93103,0.293,0,15,39.3,19,26.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/147ScreenParallel.webp
148,1,30,40,10,60,0,5,93155,0.3,0.3,15.1,39.6,18.5,26.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/148ScreenParallel.webp
149,2,30,40,10,60,0,5,95227,0.336,0.6,17.6,28.7,21.3,31.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/149ScreenParallel.webp
150,0,40,40,10,60,0,5,95423,0.316,0,17.6,31.3,23.8,27.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/150ScreenParallel.webp
151,1,40,40,10,60,0,5,94919,0.323,0.4,17.4,29.1,23.4,29.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/151ScreenParallel.webp
154,1,20,50,10,60,0,5,91964,0.204,0.1,7.3,28.5,31.3,32.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/154ScreenParallel.webp
155,2,20,50,10,60,0,5,96961,0.342,0,18.7,21.9,17.2,42.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/155ScreenParallel.webp
156,0,30,50,10,60,0,5,92294,0.209,0.1,6.4,24.7,27.4,41.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/156ScreenParallel.webp
157,1,30,50,10,60,0,5,93193,0.234,0.1,6.6,30.6,30.1,32.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/157ScreenParallel.webp
158,2,30,50,10,60,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/158ScreenParallel.webp
159,0,40,50,10,60,0,5,93926,0.228,0.1,5.6,23.8,25.5,44.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/159ScreenParallel.webp
160,1,40,50,10,60,0,5,93925,0.259,0.1,7.4,30.4,29,33.1,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/160ScreenParallel.webp
161,2,40,50,10,60,0,5,100039,0.381,0.2,17.6,25.7,20.1,36.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/161ScreenParallel.webp
162,0,20,30,10,40,10,5,71606,0.186,0.3,13.5,29,30.8,26.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/162ScreenParallel.webp
163,1,20,30,10,40,10,5,71729,0.189,0.3,18.3,27.7,29,24.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/163ScreenParallel.webp
164,2,20,30,10,40,10,5,71133,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/164ScreenParallel.webp
165,0,30,30,10,40,10,5,71142,0.197,0.8,11.9,29.6,32.1,25.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/165ScreenParallel.webp
166,1,30,30,10,40,10,5,71661,0.201,0.7,15.8,29.9,29.3,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/166ScreenParallel.webp
167,2,30,30,10,40,10,5,71142,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/167ScreenParallel.webp
168,0,40,30,10,40,10,5,71191,0.203,1,12.9,28.5,33.5,24,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/168ScreenParallel.webp
169,1,40,30,10,40,10,5,72184,0.207,1.1,15.9,28.8,31,23.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/169ScreenParallel.webp
170,2,40,30,10,40,10,5,71142,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/170ScreenParallel.webp
171,0,20,40,10,40,10,5,71802,0.188,0.3,10.7,27.7,32.1,29.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/171ScreenParallel.webp
172,1,20,40,10,40,10,5,71804,0.195,0.3,17.5,27.2,28.7,26.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/172ScreenParallel.webp
173,2,20,40,10,40,10,5,71741,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/173ScreenParallel.webp
174,0,30,40,10,40,10,5,70902,0.199,0.7,9,27.4,33.9,28.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/174ScreenParallel.webp
175,1,30,40,10,40,10,5,71971,0.206,0.8,15.2,27.6,31,25.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/175ScreenParallel.webp
176,2,30,40,10,40,10,5,71750,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/176ScreenParallel.webp
177,0,40,40,10,40,10,5,70951,0.206,0.9,9,27.5,36.4,26.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/177ScreenParallel.webp
178,1,40,40,10,40,10,5,72494,0.213,1,14.3,27.9,33,23.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/178ScreenParallel.webp
179,2,40,40,10,40,10,5,71750,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/179ScreenParallel.webp
180,0,20,50,10,40,10,5,80000,0.153,0.1,7.3,19,24.3,49.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/180ScreenParallel.webp
181,1,20,50,10,40,10,5,80454,0.168,0.2,5.6,21.6,24.6,48,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/181ScreenParallel.webp
182,2,20,50,10,40,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/182ScreenParallel.webp
183,0,30,50,10,40,10,5,80400,0.164,0.1,6.5,18.4,23.7,51.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/183ScreenParallel.webp
184,1,30,50,10,40,10,5,80882,0.185,0.1,4.8,23.1,24.4,47.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/184ScreenParallel.webp
185,2,30,50,10,40,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/185ScreenParallel.webp
186,0,40,50,10,40,10,5,81292,0.175,0.1,4.3,14.5,26.8,54.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/186ScreenParallel.webp
187,1,40,50,10,40,10,5,81649,0.199,0.1,5.9,20.9,24.4,48.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/187ScreenParallel.webp
188,2,40,50,10,40,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/188ScreenParallel.webp
189,0,20,30,10,60,10,5,71707,0.189,0.3,18.2,27.8,29,24.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/189ScreenParallel.webp
190,1,20,30,10,60,10,5,71729,0.189,0.3,18.3,27.7,29,24.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/190ScreenParallel.webp
191,2,20,30,10,60,10,5,71133,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/191ScreenParallel.webp
192,0,30,30,10,60,10,5,71642,0.201,0.7,15.8,29.7,29.5,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/192ScreenParallel.webp
193,1,30,30,10,60,10,5,71661,0.201,0.7,15.8,29.9,29.3,24.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/193ScreenParallel.webp
194,2,30,30,10,60,10,5,71142,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/194ScreenParallel.webp
195,0,40,30,10,60,10,5,72165,0.207,1.1,15.8,28.9,31,23.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/195ScreenParallel.webp
196,1,40,30,10,60,10,5,72184,0.207,1.1,15.9,28.8,31,23.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/196ScreenParallel.webp
197,2,40,30,10,60,10,5,71142,0.208,1.1,15.5,29.5,30.8,23,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/197ScreenParallel.webp
198,0,20,40,10,60,10,5,71708,0.194,0.3,17.5,27.2,29,26,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/198ScreenParallel.webp
199,1,20,40,10,60,10,5,71804,0.195,0.3,17.5,27.2,28.7,26.3,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/199ScreenParallel.webp
200,2,20,40,10,60,10,5,71741,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/200ScreenParallel.webp
201,0,30,40,10,60,10,5,71877,0.206,0.8,15.2,27.6,31.1,25.2,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/201ScreenParallel.webp
202,1,30,40,10,60,10,5,71971,0.206,0.8,15.2,27.6,31,25.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/202ScreenParallel.webp
203,2,30,40,10,60,10,5,71750,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/203ScreenParallel.webp
204,0,40,40,10,60,10,5,72401,0.213,1.1,14.2,27.9,33,23.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/204ScreenParallel.webp
205,1,40,40,10,60,10,5,72494,0.213,1,14.3,27.9,33,23.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/205ScreenParallel.webp
206,2,40,40,10,60,10,5,71750,0.213,1,14.7,27.7,33.2,23.5,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/206ScreenParallel.webp
207,0,20,50,10,60,10,5,80400,0.164,0.1,7.1,22.5,22.9,47.4,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/207ScreenParallel.webp
208,1,20,50,10,60,10,5,80454,0.168,0.2,5.6,21.6,24.6,48,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/208ScreenParallel.webp
209,2,20,50,10,60,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/209ScreenParallel.webp
210,0,30,50,10,60,10,5,80808,0.18,0.1,4.1,21.5,26.4,47.9,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/210ScreenParallel.webp
211,1,30,50,10,60,10,5,80882,0.185,0.1,4.8,23.1,24.4,47.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/211ScreenParallel.webp
212,2,30,50,10,60,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/212ScreenParallel.webp
213,0,40,50,10,60,10,5,80403,0.194,0.1,4.8,18.4,26.2,50.6,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/213ScreenParallel.webp
214,1,40,50,10,60,10,5,81649,0.199,0.1,5.9,20.9,24.4,48.8,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/214ScreenParallel.webp
215,2,40,50,10,60,10,5,80861,0.248,0.1,9,26.2,37,27.7,https://kastnerp.github.io/Eddy3D-CornellTech-CaseStudy/design_explorer_data/DefaultData/215ScreenParallel.webp
